Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Form_Suite,Chrome 66.0.3359.181,,2018-06-14 14:59:33,2018-06-14 15:03:23,3m - 50.279s,PASSED
,,,,,,
Test Cases/Studio Smoke Test Cases/Common Functions,Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:35,1.744s,PASSED
Statement - digi = generateRandomInt(9999999),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.003s,PASSED
Statement - random = new java.util.Random(),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.005s,PASSED
Statement - return random.nextInt(upperRange),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.003s,PASSED
"Statement - form_id = ""F"" + digi",Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.002s,PASSED
Statement - println(form_id),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.006s,PASSED
"Statement - view_id = ""AV"" + digi",Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
Statement - println(view_id),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
"Statement - app_id = ""AA"" + digi",Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
Statement - println(app_id),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
"Statement - subWS_id = ""ASUB"" + digi",Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
Statement - println(subWS_id),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
"Statement - WS_id = ""AWS"" + digi",Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
Statement - println(WS_id),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
"Statement - filePath = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Data Input.xls""",Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.000s,PASSED
Statement - file = new java.io.File(filePath),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.016s,PASSED
Statement - fis = new java.io.FileInputStream(file),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.016s,PASSED
Statement - fileOut = new java.io.FileOutputStream(filePath),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:34,0.002s,PASSED
Statement - workbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(),Chrome 66.0.3359.181,,2018-06-14 14:59:34,2018-06-14 14:59:35,0.094s,PASSED
"Statement - st = workbook.createSheet(""POI Worksheet"")",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.273s,PASSED
Statement - row = st.createRow(0),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.016s,PASSED
Statement - cell0 = row.createCell(0),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.015s,PASSED
"Statement - cell0.setCellValue(""FormID"")",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.023s,PASSED
Statement - cell1 = row.createCell(1),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.003s,PASSED
"Statement - cell1.setCellValue(""ViewID"")",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.002s,PASSED
Statement - cell2 = row.createCell(2),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.003s,PASSED
"Statement - cell2.setCellValue(""AppID"")",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.002s,PASSED
Statement - cell3 = row.createCell(3),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.003s,PASSED
"Statement - cell3.setCellValue(""SubWSID"")",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.002s,PASSED
Statement - cell4 = row.createCell(4),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
"Statement - cell4.setCellValue(""WSID"")",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - row1 = st.createRow(1),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell01 = row1.createCell(0),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell01.setCellValue(form_id),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell11 = row1.createCell(1),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell11.setCellValue(view_id),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell21 = row1.createCell(2),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.016s,PASSED
Statement - cell21.setCellValue(app_id),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell31 = row1.createCell(3),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell31.setCellValue(subWS_id),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell41 = row1.createCell(4),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - cell41.setCellValue(WS_id),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - workbook.write(fileOut),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.062s,PASSED
Statement - f_id = row1.getCell(0),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - println(f_id),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - Map_TC1 = [:],Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
"Statement - Map_TC1.put(""formID"", f_id)",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.444s,PASSED
"Statement - Map_TC1.put(""viewID"", row1.getCell(1))",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
"Statement - Map_TC1.put(""appID"", row1.getCell(2))",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
"Statement - Map_TC1.put(""subWSID"", row1.getCell(3))",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
"Statement - Map_TC1.put(""WSID"", row1.getCell(4))",Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - fileOut.flush(),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.017s,PASSED
Statement - fileOut.close(),Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
Statement - return Map_TC1,Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 14:59:35,0.000s,PASSED
,,,,,,
Test Cases/Studio Smoke Test Cases/New_Create_Form,Chrome 66.0.3359.181,,2018-06-14 14:59:35,2018-06-14 15:01:13,1m - 37.468s,PASSED
"Statement - common = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Test Cases/Studio Smoke Test Cases/ReadExcel), [:])",Chrome 66.0.3359.181,,2018-06-14 14:59:36,2018-06-14 14:59:37,1.387s,PASSED
"Statement - form_id = common[""formID""]",Chrome 66.0.3359.181,,2018-06-14 14:59:37,2018-06-14 14:59:37,0.000s,PASSED
Statement - println(form_id),Chrome 66.0.3359.181,,2018-06-14 14:59:37,2018-06-14 14:59:37,0.000s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-14 14:59:37,2018-06-14 14:59:43,5.610s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-14 14:59:43,2018-06-14 14:59:44,1.224s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-14 14:59:44,2018-06-14 15:00:06,21.665s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 66.0.3359.181,,2018-06-14 15:00:06,2018-06-14 15:00:09,3.010s,PASSED
"Statement - folder = ""D:\Sheepa\AutoIt\""",Chrome 66.0.3359.181,,2018-06-14 15:00:09,2018-06-14 15:00:09,0.001s,PASSED
"Statement - exe = ""KAuth.exe""",Chrome 66.0.3359.181,,2018-06-14 15:00:09,2018-06-14 15:00:09,0.000s,PASSED
"Statement - p = new java.lang.ProcessBuilder(cmd.exe, /C, start)",Chrome 66.0.3359.181,,2018-06-14 15:00:09,2018-06-14 15:00:09,0.006s,PASSED
Statement - p.command(folder + exe),Chrome 66.0.3359.181,,2018-06-14 15:00:09,2018-06-14 15:00:09,0.000s,PASSED
Statement - p.start(),Chrome 66.0.3359.181,,2018-06-14 15:00:09,2018-06-14 15:00:09,0.097s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 66.0.3359.181,,2018-06-14 15:00:09,2018-06-14 15:00:11,2.002s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-14 15:00:11,2018-06-14 15:00:11,0.391s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-14 15:00:11,2018-06-14 15:00:11,0.218s,PASSED
click,Chrome 66.0.3359.181,,2018-06-14 15:00:11,2018-06-14 15:00:24,12.609s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-06-14 15:00:24,2018-06-14 15:00:24,0.122s,PASSED
