Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Grid_Suite,Chrome 67.0.3396.99,,2018-07-04 14:56:42,2018-07-04 15:17:35,20m - 53.601s,FAILED
,,,,,,
Test Cases/Smoke Test/Delete Grid Views,Chrome 67.0.3396.99,,2018-07-04 14:56:42,2018-07-04 14:58:33,1m - 50.894s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-04 14:56:43,2018-07-04 14:56:48,5.396s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-04 14:56:48,2018-07-04 14:56:50,1.181s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-04 14:56:50,2018-07-04 14:57:11,21.533s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-04 14:57:11,2018-07-04 14:57:11,0.338s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-04 14:57:11,2018-07-04 14:57:12,0.197s,PASSED
click,Chrome 67.0.3396.99,,2018-07-04 14:57:12,2018-07-04 14:57:13,1.724s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-04 14:57:13,2018-07-04 14:57:14,0.742s,PASSED
click,Chrome 67.0.3396.99,,2018-07-04 14:57:14,2018-07-04 14:57:15,0.414s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.018s,PASSED
Statement - returnVal_View = delete(5),Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.001s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.012s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.538s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.003s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.004s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.002s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:15,0.025s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-07-04 14:57:15,2018-07-04 14:57:46,30.669s,PASSED
Statement - return done,Chrome 67.0.3396.99,,2018-07-04 14:57:46,2018-07-04 14:57:46,0.000s,PASSED
"Statement - println(""View "" + returnVal_View)",Chrome 67.0.3396.99,,2018-07-04 14:57:46,2018-07-04 14:57:46,0.001s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-04 14:57:46,2018-07-04 14:57:51,5.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-04 14:57:51,2018-07-04 14:57:51,0.263s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-04 14:57:51,2018-07-04 14:57:51,0.032s,PASSED
Statement - returnVal_App = deleteApp(6),Chrome 67.0.3396.99,,2018-07-04 14:57:51,2018-07-04 14:57:51,0.003s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-07-04 14:57:51,2018-07-04 14:57:51,0.002s,PASSED
