Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebService_Suite,Chrome 67.0.3396.99,,2018-07-27 12:18:11,2018-07-27 12:24:39,6m - 28.514s,FAILED
,,,,,,
Test Cases/Smoke Test/New WebService Connection,Chrome 67.0.3396.99,New_Create New Connection,2018-07-27 12:18:11,2018-07-27 12:19:58,1m - 47.329s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-27 12:18:12,2018-07-27 12:18:17,5.809s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-27 12:18:17,2018-07-27 12:18:19,1.194s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-27 12:18:19,2018-07-27 12:18:40,21.559s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.99,,2018-07-27 12:18:40,2018-07-27 12:18:43,3.022s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 12:18:43,2018-07-27 12:18:44,0.416s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 12:18:44,2018-07-27 12:18:44,0.268s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 12:18:44,2018-07-27 12:18:46,1.955s,PASSED
Statement - returnVal_View = delete(),Chrome 67.0.3396.99,,2018-07-27 12:18:46,2018-07-27 12:18:46,0.005s,PASSED
"Statement - selectconn = ""(//span[contains(text(),'"" + com.kms.katalon.core.testdata.TestDataFactory.findTestData(Database).getValue(""Connection_Name"", 3) + ""')])[1]""",Chrome 67.0.3396.99,,2018-07-27 12:18:46,2018-07-27 12:18:46,0.516s,PASSED
Statement - println(selectconn),Chrome 67.0.3396.99,,2018-07-27 12:18:46,2018-07-27 12:18:46,0.000s,PASSED
"Statement - dynamicObject = new com.kms.katalon.core.testobject.TestObject(selectconn).addProperty(""xpath"", EQUALS, selectconn, true)",Chrome 67.0.3396.99,,2018-07-27 12:18:46,2018-07-27 12:18:46,0.016s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 12:18:46,2018-07-27 12:18:54,8.032s,PASSED
"Statement - present = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotPresent(dynamicObject, 4, CONTINUE_ON_FAILURE)",Chrome 67.0.3396.99,,2018-07-27 12:18:54,2018-07-27 12:18:54,0.105s,PASSED
